Pseudo,Title,Review,Rating,Verified Purchase,Date,Score,Compound,Sentiment
Frequent Shopper,pesa nada tiene excelente procesador súper súper producto,uso de hogar pero también para archivos de trabajo lo mejor es el peso lo delgado que es,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on October 11, 2022","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
SAUYEUNG,great hdd failed,love laptop 9 mo hard drive failed thankfully warranty documents lost ya know back ill get new hdd id expect last longer 9mo pretty disappointed otherwise great laptop,3.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on September 11, 2022","{'neg': 0.182, 'neu': 0.594, 'pos': 0.224, 'compound': 0.6249}",0.6249,positive
martha osorio,sound scratchy video fuzzy disappointed two features,everything else laptop great sound horrible video,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on November 21, 2022","{'neg': 0.263, 'neu': 0.623, 'pos': 0.113, 'compound': -0.6562}",-0.6562,negative
YROCK,absolutely good buy,hesitant first first time buy using amazon happy thanks,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on October 4, 2022","{'neg': 0.05, 'neu': 0.605, 'pos': 0.345, 'compound': 0.8674}",0.8674,positive
Amazon Customer,light fast,like easy carry around fast install windows 11 went smoothlynorton keeps bugging upgrade plan sticking windows defender wish norton would go away,3.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on April 15, 2022","{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.7814}",0.7814,positive
Aris del Rosario,cant see keys many lighting conditions,beautiful high functioning laptop cannot see keys many light conditions surface keyboard gorgeous however keys painted light gold color disappears making difficult see keyboard computer super light fast nice lookfeel return get evo another mfr bummer,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on July 20, 2022","{'neg': 0.131, 'neu': 0.672, 'pos': 0.197, 'compound': 0.7725}",0.7725,positive
PeteTheGolfer,received faulty power adapter acer warranty,purchased laptop new amazon received faulty power adapter barrel plug malformed immediately registered acers website followed service request process file claim began setting laptop full charge battery spent several hours setting laptop expecting getting replacement power adapter would big deal online chat contact acer support completely offline days timeseveral days later receive automated email acer unable complete request repair next course action contact reseller return laptop amazon undoing hours work setting maybe getting replacement shame acer complicating getting working power adapter point im ordering replacement ac adapter remembering poor warranty support experience purchasing acer equipment,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on February 23, 2022","{'neg': 0.073, 'neu': 0.875, 'pos': 0.052, 'compound': -0.5709}",-0.5709,negative
Mr. bill,light gaming,someone accustomed using highend laptops desktops pleasantly surprised hp 14 laptop amd ryzen 5 5500u 8gb ram laptop packs quite punch price range great option anyone looking reliable midrange laptopthe amd ryzen 5 5500u processor delivers impressive performance allowing smooth multitasking speedy performance 8gb ram sufficient everyday use laptop boots quicklythe build quality laptop also noteworthy sleek stylish keyboard comfortable type extended periods 14inch display bright clear making pleasure use work entertainmentone thing note storage capacity bit limited 256gb ssd storage however expanded external hard drive cloud storage solutionsoverall would highly recommend hp 14 laptop anyone looking solid midrange laptop everyday use great option students professionals need reliable machine work personal use amd ryzen 5 5500u processor delivers impressive performance price point,4.5 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on March 28, 2023","{'neg': 0.014, 'neu': 0.827, 'pos': 0.159, 'compound': 0.9866}",0.9866,positive
Dylan,1 month already burned pixel poor airflow dont plan keeping long warranty,doesnt touch screen model fhd display really surprised better picture lot tvs products hide defects month later soon 33th day rolled turned laptop discovered sure enough got burnt pixel way fix without replacing screen unless 5 burned pixels good luck getting return repairs hp still shady regard fully upgraded machine got 16gb ram 1tb samsung 980 ssd performance actually comparable tower many respects geforce 980 octocore amd cpu 24gb ddr3 ram tower laptop course little less ram plays games well tower really surprised cooling situation absolutely garbage laptop engineers put cpu exhaust port pointing directly hinge portion case makes computer actively fighting blowing air 15 cm gap row holes bottle air intake picked tray cooling fan pad solved heat problem see problems future designed fan excess heat kills hardware lifespan slows machine auto throttling could would installed heat spreaders inside machine isnt room couldnt even bothered make air inlets front case asking burn many years deliberately problems hp past screwed laptop return sent blamed water damage pictures im shocked treat customers swore id buy another hp one cheap pass super light weight camera nothing fancy windows 11 find lack audio enhancement options instead replaced crap hp audio tool ditch soon find something like pulse audio hear cheap cheap cheap dog szzz cheap speakers youll also want get good set headphones performance little low unless add second stick ram many people pointed machine simply wasnt designed properly taking consumers pocket keeping ignorant showing important aspects showing fan smack dab middle 12cm gap close lid open 20 minutes youll find incredibly warm hooked hdmi forces keep screen open isnt good static screens honestly think burned pixel happened excess heat isnt anything isnt bad see something never unsee warranty going cover damage spent money even 30 days later depreciated value price lcd screen case cheapest plastic could find given produced pandemic youre left another problem check ram speeds get stuck 1r16 chip youre basically 1 librarian trying organize 16 shelves whereas good ram 2r8 would equal 2 librarians keeping 8 shelves see extra work load slows machine dont mention sales page documentation youll find get run software look pull machine apart overall probably wouldnt buy machine even though works fast entry level computer poorly designed give year two fails likely knowing hp 26 minutes oem warranty expires used planned obsolescence rip customers even though nearly 8 years since swore wouldnt buy another one changed worse,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on February 5, 2023","{'neg': 0.079, 'neu': 0.835, 'pos': 0.086, 'compound': 0.2738}",0.2738,positive
Mr. bill,light weight boots fast,laptop performs well entry level laptop first problem loud fan noise first using laptop fixed allowed laptop finish updates fan usually kicks type gaming gaming experience decent playing games like robloxleague legends fall guys experience gaming aspect alright mainly personal slow internetbut laptop performs well gaming would advise like people getting another ram stick unlock laptops potential amd processors better two stick plus get cooling fan gaming also ran geekbench test cpu,3.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on March 28, 2023","{'neg': 0.013, 'neu': 0.796, 'pos': 0.191, 'compound': 0.9718}",0.9718,positive
shadowstar,suprisingly capable,bought computer chromebook unable run program nessicary college courses expect laptop able run world warcraft online trouble terrible discovery side tracked lot,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on April 5, 2022","{'neg': 0.053, 'neu': 0.908, 'pos': 0.039, 'compound': -0.2124}",-0.2124,negative
shadowstar,decent practical allaround laptop,ok overall laptop decent practical allaround laptop great good enough you’re deal hunter good guarantee find betterif you’re like don’t time scout internet realized product quality keeps getting poorer poorer order keep raising prices consistent inflation it’s possible point you’re going settle something fits budget you’ll accept reasonably happy aka settledhere observation aspect laptop screen quality good factory settings blacks set dark brightness bright enough i’m going provide instructions adjust moment battery life ok lasting 7 hours currently see long keeps find cheap laptop battery lives typically trash 12 years keys feel good type relieved find speed laptop alright ssd expected faster machine stream video fine don’t plan video editing gaming weight actually nice expected small screen one thing think machine actually well get hot like previously using laptop cooling pad fan computer need set directly bed gets little warm lastly unfortunately touchpad needs upgrade order make usable first thought could adjust windows touchpad settings realized software issuethe problem touchpad physically smooth enough effect happens much friction fingers pad fine you’re moving cursor large distances across screen means fine small movements difficult achieve frustrating able click directly needed thisluckily came solution need order touchpad cover skin 10 basically similar screen protectors used cell phones adhere touch pad provide much smoother surface worked well drawback able find skin made laptop order larger one cut sizehere instructions accomplish tweaksfix screen settingsright click desktop show options amd radeon software display reduce contrast 94 increase brightness 25fix touchpad searching amazoncasebuy macbook air 13 inch trackpad protector cover trackpad skincut size install itmake sure read reviews trackpad skin bit tricky install users posted helpful tips make sure don’t bubbles you’re doneafter you’re done installing you’ll need increase touchpad sensitivitygo towindows settings bluetooth devices touchpad taps touchpad sensitivity high sensitivitythat’s i’ve got setting new iphone gave large amount respect seamlessness process intelligent design went windows laptops still long way go user experience becomes reason use,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on March 19, 2023","{'neg': 0.046, 'neu': 0.825, 'pos': 0.129, 'compound': 0.9958}",0.9958,positive
Kobe Noah,item came described,far tell brought new laptop still factory warranty 1yr left really great price unit fits needs moment already upgraded 16gb ram totally simple upgrade cheap laptops wont ready pleased item far less month,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on April 1, 2023","{'neg': 0.067, 'neu': 0.867, 'pos': 0.066, 'compound': 0.2208}",0.2208,positive
Kobe Noah,great sims 4,bought 2012 macbook pro wasnt running sims 4 well anymore sheer amount custom contentmods game would take sometimes 45 minutes load game patch updates got tired waiting invested laptop capable running game properly im glad purchased one downside lack backlit keyboard,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on February 16, 2022","{'neg': 0.11, 'neu': 0.796, 'pos': 0.093, 'compound': -0.1365}",-0.1365,negative
Kellie J,nice,it’s good computer personal use use games social media study works perfect,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on March 20, 2023","{'neg': 0.0, 'neu': 0.703, 'pos': 0.297, 'compound': 0.8011}",0.8011,positive
Elizabeth,fairly good,definitely purchase think worth top gaming laptop let alone top laptop general playing online games hasnt given hassle small compact easy carry around since ive froze screen turned black couple times simple reboot solves problem ever pinch definitely,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on February 22, 2023","{'neg': 0.069, 'neu': 0.741, 'pos': 0.19, 'compound': 0.8763}",0.8763,positive
Clifton T. Hackett III,good laptop,ive using 4 weeks works really greatwould recommend buy,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on April 2, 2023","{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.4173}",0.4173,positive
nw8995,perfect onthego computing bad sound,wanted laptop word processing excel internet go hits mark lightweight fast feels well constructed biggest weak point sound sounds kind muffled weak acceptable quality battery might less expected 2 25 hours hook got sale 400 however dont think id pay,4.6 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on September 10, 2022","{'neg': 0.073, 'neu': 0.818, 'pos': 0.109, 'compound': 0.2254}",0.2254,positive
Tevin Irie,fully charge,casual computer surfer really want something lets online things running time computer perfect need however 3 things likefirst cord usual chunky computer cord strength durability like ordinary removable cord thin delicate cord plugs directly outlet chunky plug edit add picture phone finish typing flimsy cord already replaced due energetic puppy snagging multiple times middle one zoomies sessions zooms cord gets yanked right outwhich brings second thing im sure saying keeping laptop constantly plugged youre supposed well first reason screen dims cord isnt plugged matter settings try change stay bright vision problems require brightness using computer battery doesnt work meand third thing first time tried use computer battery lost charge dropped 69 gave plugged back never returned 100 charged cord broken suffered dim screen computer died got new cord plugged battery charged 59 stopped remains plugged showing 59since use computer simple couch potato needs works fine,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on April 6, 2021","{'neg': 0.07, 'neu': 0.848, 'pos': 0.082, 'compound': 0.4777}",0.4777,positive
nw8995,great device really budget computer,received asus thinkbook 15 via ups yesterday finished setting works fine much faster old lenovo v570 old 24 ghz processor bought one amd ryzen 7 40 ghz processor 8 gb ddr 4 ram 512 ssd although device optical drive ethernet port purchase ethernet port separately connect via usb port device device connected via ethernet port internet connection much secure bit faster well computer science major works well notebook looks professional slate gray also lightweight well fingerprint scanner easy set able log account one touch finger much better secure old fashion password ddr 4 ram twice fast ddr 3 ram therefore 8 gb ddr 4 ram equivalent 16 gb ddr 3 ram purchase stick 16 gb ddr ram upgrade memory 20 gb ddr 4 ram 50 stated previously really budget computer also delicate device hard plastic casing durable lenovo laptop notebook computer much ram computer cause crash defective stick memory,2.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on September 10, 2022","{'neg': 0.027, 'neu': 0.907, 'pos': 0.065, 'compound': 0.8939}",0.8939,positive
PrplMom,close great,bought laptop dad replace old laptop getting slower every day could upgraded memory put ssd laptop 5 years old looking around around laptop seemed dad needed fast processor ssd drive backlit keyboard lightweight checked around looking reviews various websites biggest knock saw 4 gbs memory built motherboard would able upgrade one chip wasnt big deal bought 8 gb chip upgraded 12gb laptop fast amount crapware low well transferred data old laptop new one noticed one flaw sd card slot dad older dslr takes sd card camera plugs laptop macbook dslr also older model without built wifi dad liked laptop far immediately complained order usb hub amazon course make things right would gone full 5 stars sd card slot,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on January 20, 2021","{'neg': 0.038, 'neu': 0.928, 'pos': 0.034, 'compound': -0.249}",-0.249,negative
PrplMom,excelente,siguen en muy buen funcionamiento después de un año de compra sin problemas de memora lentitud de programas muy buena,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on August 25, 2020","{'neg': 0.146, 'neu': 0.854, 'pos': 0.0, 'compound': -0.5574}",-0.5574,negative
Noblelord,super light super powerful,purchased tablet started freaking thought upgrading building desktop new mobo etc compared pricing decided better getting laptop shopping brands comparing configs landed asus vivobook covers needs much better price adding 16gb ram 20gb total 1tb internal hdd made easy asus addon drive tray kit laptop would want could build one still less expensive brands similar configs fhd display 4k hdmi connection give display options looks great connected 65 4k tv keeping cool problem venting although little distracting fans ramp myasus app great fine tuning operation connection sharing files video camera mobile devices battery life beyond windows configuretbh ive fan asus since mobos ive never fan processor guys ive always matched asus amd ati builds never issue part family harmonious,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on September 3, 2020","{'neg': 0.029, 'neu': 0.831, 'pos': 0.141, 'compound': 0.975}",0.975,positive
David Horvath,nice laptop great value price,asus vivobook 15 laptop amd quad core r73700u cpu two weeks really impressed primarily use programming c python well general internet surfing machine proven quick responsive ssd drive allows quick startups shutdowns screen nice vivid sharp display experienced fan noise played demanding games little apprehensive chiclet keyboard found pleasant accurate type concern seems fairly rapid discharge battery however since first laptop quite years really cannot compare units battery discharge rate machinesall highly pleased new asus machine quick responsive feels substantially built nice display lightweight thin likely add another 4 gigabytes memory point use asus gaming feel asus vivobook 15 good value price,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on November 24, 2022","{'neg': 0.017, 'neu': 0.841, 'pos': 0.142, 'compound': 0.9827}",0.9827,positive
Andrea,favorite computer ever,would like thank powers dump drink fry old laptop never seen computer startup fast handles multiple streaming monitors main 1 find way make 3 operate like work would ideal quiet operation impressed,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on June 1, 2021","{'neg': 0.037, 'neu': 0.762, 'pos': 0.202, 'compound': 0.8932}",0.8932,positive
Rob,equivalent pretty lady rotten insides,2023 new year update1 year 8 months later thing kicks every sense acceptable 640 laptop yes looks good went completely inactive without notice charging activity lights powering nothing laptop forces stay away 1 asus laptops 2 ryzen powered laptops cpu start ramping temps consistently idleafter weeks lappy feeling ill get straight opinion itpros great build quality love way closes hold lower part open though issues screen quality aside bit screen bleeding lower left corner totally black room lovely typing experience backlit keyboard 3 brightness levels go long way good feeling trackpad go edge edge screen without lifting finger appropriate settings 2 usb 2 slots left side accommodate well sized flash drives time super fast fingerprint reader super thin bezels allow compact laptops size screen nice light super portable charger nice rounded edges track pad section dont dig wrists etc came well packaged accommodate 1 25 internal ssd needs cable comes separate fan perfectly silent much load ramps well light gaming maybe 12 tabs open browser dont really care ergoliftcons ergolift design pinch skin thigh opening also using lap 2 rubber pegs top clam aids ergolift design dig thigh get uncomfortable real quick location fan exhaust questionable exhaust crevice made lower upper parts laptop opened doesnt accommodate external cooling fans well designbig con laptop seems totally freeze video playback like youtube especially full screen sure something asus software radeon software force shutdown hold power button get,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on January 30, 2021","{'neg': 0.065, 'neu': 0.739, 'pos': 0.195, 'compound': 0.9963}",0.9963,positive
John,brand new board already busted frustrated,incredibly incredibly frustrated disappointed purchase bought laptop new needed laptop specs coding class startingi laptop two months i’ve used laptop one singular class past 3 12 weeks definitely put laptop ringer allmy screen started becoming pixelated screen messed issue persisted plugged monitori took computer repair shop told either graphics card entire board messed dumbfounded computer bought recently could hardware issuei called amazon got touch asus order potentially resolve issue phone course nothing worked graphics cardboard messed upthe thing could offered repairs covered could take two weeks get computer back computer necessary class least three times week classwork outside designated class timesconsidering computer new would expected able send brand new computer replacement point would send back busted laptop sold meneither asus amazon able willing offer replacement since physically cannot without computer two days assume case many people sending back waiting forever clearly option menow i’m going take time go shop pray fix short amount time course i’ll pay servicei absolutely dissapointed product absolutely absurd issue arise new computeragain computer repair shop dumbfoundedclearly cheaply made spent 600 mess send repairsdo favor steer clear product would steer clear asus generali also crazy “yelp reviewer” type never write reviews especially bad ones sincerely upset purchaseplease please don’t waste time laptop companyfun minor additional issue plugged screen dim,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on September 17, 2022","{'neg': 0.058, 'neu': 0.869, 'pos': 0.073, 'compound': 0.886}",0.886,positive
chanfish,deserve pricehighly recommended purchase,like itthe tough screen smartbut speed reaction goodin wordthe value enough money,4.2 out of 5 stars,Yes,"Reviewed in the United States on March 28, 2022","{'neg': 0.058, 'neu': 0.74, 'pos': 0.202, 'compound': 0.5707}",0.5707,positive
W. Bruff,keyboard light,bad taste windows 10 try lock microsoft world laptop however exactly need monitor viewing angle bit short keyboard doesnt light,4.0 out of 5 stars,Yes,"Reviewed in the United States on February 23, 2022","{'neg': 0.089, 'neu': 0.911, 'pos': 0.0, 'compound': -0.5849}",-0.5849,negative
chanfish,good product,issues product expected,3.0 out of 5 stars,Yes,"Reviewed in the United States on March 28, 2022","{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
chanfish,poor color rendition buyer beware,ive laptop month using daily convenient size spacious keyboard layout etc everything works advertised however screen colors washed technician thinking didnt know set properly nothing helped hazy blue cast screens images enjoy youtube movies washed color since use primarily word processing ill live still return window would returned thinking needed adjustment waited long technician look tell computer could,4.0 out of 5 stars,Yes,"Reviewed in the United States on December 17, 2021","{'neg': 0.027, 'neu': 0.973, 'pos': 0.0, 'compound': -0.5334}",-0.5334,negative
George,disappointed seller made right,worked twenty minutes initial startup began download pictures drive entire reason computer operating system began wanting reboot windows update loop began reboot problem reboot problem called dell unable anything since computer previously registered couldn’t even start safe mode blue screen total brick never seen computer eat beforeseller making right sure total disappointment,4.0 out of 5 stars,Yes,"Reviewed in the United States on January 20, 2022","{'neg': 0.093, 'neu': 0.854, 'pos': 0.054, 'compound': -0.5849}",-0.5849,negative
Martin JT,new dell laptops come generic adapters,purchased new laptop came generic adapter happen,4.0 out of 5 stars,Yes,"Reviewed in the United States on February 23, 2022","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
W. Bruff,dell computer,like easy set light weight,4.0 out of 5 stars,Yes,"Reviewed in the United States on April 11, 2022","{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.6597}",0.6597,positive
Jeff,old computer,issues contacted dell said computer help ended february2022 bought oct 6 2022 buy something new expect kind warranty finally got dell repair sent back 10 days got back still messed piece crapdont waste money piece crap,3.0 out of 5 stars,Yes,"Reviewed in the United States on October 16, 2021","{'neg': 0.108, 'neu': 0.855, 'pos': 0.037, 'compound': -0.6249}",-0.6249,negative
Amazon_Review,died 2 months,liked stopped working 2months,3.0 out of 5 stars,Yes,"Reviewed in the United States on October 24, 2021","{'neg': 0.15, 'neu': 0.63, 'pos': 0.22, 'compound': 0.2263}",0.2263,positive
Nancy Eisele,didnt work,wasnt new yes computer plastic bag however side clear strips removed box shipping label removed pouch windows would never load said numerous errors set installations disappointed gift husband,4.0 out of 5 stars,Yes,"Reviewed in the United States on October 13, 2022","{'neg': 0.194, 'neu': 0.701, 'pos': 0.104, 'compound': -0.5791}",-0.5791,negative
Brock,great gaming pc price paid,laptop great device gaming ive using month games play run least high ultramaxwhatever highest graphical settings sometimes tone depending playscreen quality good really much say good brightness good 165hz refresh ratethe real issue first got speaker right low sounded tinny like youve ever speaker go car tweeter still worked sounded like considering returning decided open make sure everything connected properly found tiny screw lodged lodged speaker removed speaker worked like normal assume fell assembly couldnt find spots inside appeared missing screw sound quality machine isnt superb thats fine need good sound quality ill put headset laptop 25mm headphone jack like wired headphones thats option bluetooth headset 24ghz usb receiver also optionspeaking disassembly easy enough open well remove several screws carefully use spudger remove back plate access ram extra storage bay easy expectedit get warm gaming think thats expected gaming laptops daysi havent tested battery life marked 3 stars understanding itspretty bad cant imagine issue unless reason like game onthego dont access outlet whatever reasonall would recommend laptop good midhigh tier gaming setup prefer use laptop keep mind sound probably weakest point prefer use speakers instead headset might want look elsewhere otherwise pretty solid machine personal experience,4.5 out of 5 stars,Yes,"Reviewed in the United States on January 27, 2023","{'neg': 0.052, 'neu': 0.807, 'pos': 0.141, 'compound': 0.9878}",0.9878,positive
Amazon Customer,fantastic computer,first computer ive ever bought 18 previously dad would usually get pcs replaced worked never computer could run beefy games like smoothly first ever well doesnt overheat fans greatmy 16 year old brother eyed computer loved much bought one himselfyou really cant go wrong great specs rtx 3050 thing ive altered ram please favor get 32gb see baby run like hell purchase computertldr buy buy 32gb ddr4 ram,4.0 out of 5 stars,Yes,"Reviewed in the United States on December 29, 2022","{'neg': 0.031, 'neu': 0.813, 'pos': 0.155, 'compound': 0.9461}",0.9461,positive
Brock,decent computer,computer decent battery horrible really play sims leave plugged charger computer good,3.0 out of 5 stars,Yes,"Reviewed in the United States on January 27, 2023","{'neg': 0.15, 'neu': 0.668, 'pos': 0.183, 'compound': 0.3269}",0.3269,positive
Kayla Anne,amazing laptop check battery config end 🔥 best budget gaming laptop 2022 💯,updatecheck battery settings bottom review leave like helped yoursdefinitely best budget laptop 2022 i5 10 series video editing gaming killer 💯great hardware get 2020s ive use devinci resolve 18 free edit gopro 9 sony fdrx3000 vloggs even handles 4k editing expected powerful processor 8gb ram decent put anotger 8gb machine really easy assemble disassemble1080p editing breeze 💯👍i also steam games like war thunder im able play 60fps easy high graphics every setting problem dont play newest top notch games could handle unlike commebts kinda dogging machinei boosted storage extra 1tb m2 samsung ssd amazon extra storage capacitypc fan run plugged tad loud nothing talk graphics days arnt galaga almost everything use cpu ram best thing make sure ram extra sroage heatsink get laptop stand never run extra fan packs extra dust machine one base better bresthing laptopthe keyboard also quite nice dont mind short stokes fingers glade across like gizzlejust make sure lower keyboard brightness helps batterywindows 11 isnt bad either right macish feel like quick snappywin 11 also comes video editor well lets edit 1080p videos freeanother mac move 👍 fine complainingthe computer super snappy got badass look heavy means low profile flat needs room fans ectthe battery great long follow settings adviceand think laptop like manual car change settings constantly browsing battery set one way get video editing set otherim please extra parts total 967absolutely love new acer nitro 5battery settings1 nvidia control panel manage 3dbattery modepreferred graphics autoselectgaming modepreferred graphics high performance graphics2 battery power settingsbatterymode power savergamingmode acer3 nitro sensebattery mode disable coolboostgaming mode enable coolboostset profiles bottom right acer plugged inbattery saver battery4 intel command centerbattery mode 60pgaming mode 60p 144p5 battery saving mode taskbarbattery ongaming off6 windows mobility centerbattery power savergaming acer7 keyboard backlitefn f9 decrease last settingbattery settings 7hr 46 minsgaming mode plugged wall,4.0 out of 5 stars,Yes,"Reviewed in the United States on March 19, 2023","{'neg': 0.03, 'neu': 0.783, 'pos': 0.186, 'compound': 0.9982}",0.9982,positive
Kayla Anne,excellent value gaming laptop,good sub1000 gaming laptops hard find nitro 5 gives great value without breaking bank 10th gen core i5 processor 2 generations old point plenty power run pretty much modern games decent setting nvidia rtx 3050 graphics processor entry level new raytracing sexiness thats next big thing graphics newer games probably wont able get past 60fps barrier 1080p settings cranked dialing details bit give better rates display rated 1080p 144hz brightest vibrant screen fine price point also full size hdmi occasion connect external monitor yet cooling fans good job keeping machine within temp specs note get pretty loud load honestly thats almost inevitable gaming laptop hard keep things cool small box anyone games laptop invest good headset imhoi opened computer install upgrades say im pretty impressed build quality computer segment components reputable makes rather mystery offbrands wd ssd looks like micron single 8gb ram stick panels fit together nice go back together easily disassembly making upgrades something dont dreadspeaking upgrades computer price point live compromises may found storage model comes paltry 256gb m2 drive plan gaming nitro either ready upgrade quickly learn love deleteing reinstalling games apps constantly fortunately second unused m2 pcie slot motherboard accommodate upgrade processor motherboard supports pcie gen3 speeds also open 25 inch bay ssd memorywise unit comes single 8gb ddr4 sodimm ram stick installed fine gaming dont run big apps background since two slots total upgrade removed installed 2 8gb sticks kingston fury impact ddr4 ram bit extra headroom max speed i5 10300h operate memory 2933 mhz worth spend faster ramall fine machine someone whos interested good nofuss entryway pc gaming seasoned gamer wants inexpensive capable machine go mobile highly recommended,5.0 out of 5 stars,Yes,"Reviewed in the United States on March 26, 2023","{'neg': 0.03, 'neu': 0.804, 'pos': 0.166, 'compound': 0.9978}",0.9978,positive
Nicole ,fantastic overall though things keep mindbe aware,ive acer almost year thoughts struggles fyis thinking getting onefirst big thing ram 8gb small amount youre planning sort heavy gaming beyond old titles mmo youll want upgrade great thing though easy enough swap outsecond battery still deciding buying reviews mentioning possible battery issue start losing charge swap sure enough months saw battery slowly surely losing charge decided order replacement waiting lost power hours mid gaming chose run battery came back draining power got back charging battery issue gone great bit frustrating go return replacement batterylastly temperature get fairly warm id recommend getting cooling pad anything longevity especially youre like plan using years comeoutside couple things perfect especially 1k laptop,5.0 out of 5 stars,Yes,"Reviewed in the United States on March 15, 2022","{'neg': 0.053, 'neu': 0.825, 'pos': 0.122, 'compound': 0.9569}",0.9569,positive
Nicole ,really nice laptop,dont lot heavy gaming wanted buy lowlevel gaming laptop knew would everything needed context main games play laptop sims ton cc mods stardew valley fair amount mods terraria basic inbrowser games like tetris whatever else im truly bored part computer handled running super well surprisingly difficulty inbrowser games tend lag drop frames fair dont really know mahjongg 3d needs rendered intense detail anyway whateveri dont lot complaints computer needed couple times ive reset settings builtin microphone randomly turn completely also sometimes im switching tabs something screen go black second two thats biggest complaint needed use machine play valorant fortnite whatever seconds black screen could cost game however im still satisfied im able using computer especially considering price ive using old computer ages every subsequent computer slow im happy say case computer long runs decently lets play sims watch netflix probably stay pretty happy,4.0 out of 5 stars,Yes,"Reviewed in the United States on May 6, 2022","{'neg': 0.041, 'neu': 0.832, 'pos': 0.126, 'compound': 0.977}",0.977,positive
Backyard_Remedies,price solid laptop,price solid laptop used basic gaming however would say laptop really great anything ssd small lot games installed extra ssd hdd slot easily upgrade month ram also lacking another easy upgrade make another negative build quality laptop feels cheap plasticy dont think word price pay expected battery life basic tasks like writing internet research light movie watching pretty terrible get 34 hours gaming wouldnt use charger anyways mute point plan using laptop stated purposenow positives display really nice games look great well movies really nice refresh rate actually enjoy typing experience keyboardfor games laptop plays farming simulator perfectly maxed settings call duty modern warfare 2 played slightly less max settings long using laptop screen using external monitor depending size monitor might run little bit trouble 49 monitor tried plugging laptop wasnt able maintain quality performanceoverall would say looking cheap gaming laptop light gaming road good laptop want gaming laptop one work coach isnt want hardcore gaming also isnt price though would say solid laptop dont expect everything want max settings,4.0 out of 5 stars,Yes,"Reviewed in the United States on December 1, 2022","{'neg': 0.047, 'neu': 0.798, 'pos': 0.155, 'compound': 0.9922}",0.9922,positive
